github_username,Quiz,Submitted
rainbow-train,Module 1,TRUE
rainbow-train,Module 2,TRUE
kpeckeref,Module 1,TRUE
kpeckeref,Module 2,TRUE
jmfoss03,Module 1,FALSE
jmfoss03,Module 2,FALSE
dspalthoff,Module 1,FALSE
dspalthoff,Module 2,FALSE
madalitsokanache,Module 1,FALSE
madalitsokanache,Module 2,FALSE
tesssadurham,Module 1,TRUE
tesssadurham,Module 2,FALSE
ambuehlb,Module 1,TRUE
ambuehlb,Module 2,TRUE
getenehmoges,Module 1,FALSE
getenehmoges,Module 2,FALSE
dkabanyana-cyber,Module 1,FALSE
dkabanyana-cyber,Module 2,FALSE
aditya-khedkar,Module 1,FALSE
aditya-khedkar,Module 2,FALSE
faraharbi,Module 1,FALSE
faraharbi,Module 2,FALSE
gaduku,Module 1,FALSE
gaduku,Module 2,FALSE
mejbahce1991,Module 1,TRUE
mejbahce1991,Module 2,TRUE
djamphie,Module 1,FALSE
djamphie,Module 2,FALSE
emmanuellmhango,Module 1,FALSE
emmanuellmhango,Module 2,FALSE
soziee,Module 1,FALSE
soziee,Module 2,FALSE
severin-ek,Module 1,FALSE
severin-ek,Module 2,FALSE
fundilek,Module 1,FALSE
fundilek,Module 2,FALSE
traviskunnen,Module 1,FALSE
traviskunnen,Module 2,FALSE
phumlileamanda,Module 1,FALSE
phumlileamanda,Module 2,FALSE
ellentafm,Module 1,FALSE
ellentafm,Module 2,FALSE
eugene-6203,Module 1,FALSE
eugene-6203,Module 2,FALSE
stacianordin,Module 1,TRUE
stacianordin,Module 2,FALSE
collo2004,Module 1,FALSE
collo2004,Module 2,FALSE
dapeguero,Module 1,FALSE
dapeguero,Module 2,FALSE
melita235,Module 1,TRUE
melita235,Module 2,FALSE
clwanga183,Module 1,TRUE
clwanga183,Module 2,FALSE
yozgoesdigital,Module 1,TRUE
yozgoesdigital,Module 2,FALSE
iggonz,Module 1,FALSE
iggonz,Module 2,FALSE
aditiowthar,Module 1,FALSE
aditiowthar,Module 2,FALSE
elizabeth-tilley,Module 1,FALSE
elizabeth-tilley,Module 2,FALSE
bwana3010,Module 1,FALSE
bwana3010,Module 2,FALSE
barbygk,Module 1,FALSE
barbygk,Module 2,FALSE
alazarnegash-horecha,Module 1,TRUE
alazarnegash-horecha,Module 2,FALSE
mushana-stack,Module 1,FALSE
mushana-stack,Module 2,FALSE
hopechilunga,Module 1,TRUE
hopechilunga,Module 2,FALSE
quishqa,Module 1,TRUE
quishqa,Module 2,TRUE
prakash4272,Module 1,TRUE
prakash4272,Module 2,TRUE
beckeinstein,Module 1,FALSE
beckeinstein,Module 2,FALSE
bensi4,Module 1,FALSE
bensi4,Module 2,FALSE
fadilah-hub,Module 1,FALSE
fadilah-hub,Module 2,FALSE
almamykonte,Module 1,FALSE
almamykonte,Module 2,FALSE
kobina-afful,Module 1,FALSE
kobina-afful,Module 2,FALSE
onyangomoriswanyama,Module 1,FALSE
onyangomoriswanyama,Module 2,FALSE
oliverwale94,Module 1,FALSE
oliverwale94,Module 2,FALSE
ksumona,Module 1,TRUE
ksumona,Module 2,FALSE
seyrama,Module 1,TRUE
seyrama,Module 2,FALSE
elishaokoth,Module 1,TRUE
elishaokoth,Module 2,FALSE
matlove23,Module 1,FALSE
matlove23,Module 2,FALSE
eacquah-arch,Module 1,FALSE
eacquah-arch,Module 2,FALSE
aravind-soman,Module 1,TRUE
aravind-soman,Module 2,FALSE
kjrezek,Module 1,TRUE
kjrezek,Module 2,FALSE
ssiima,Module 1,TRUE
ssiima,Module 2,FALSE
shafsharif,Module 1,FALSE
shafsharif,Module 2,FALSE
carleytru,Module 1,TRUE
carleytru,Module 2,FALSE
paul103-cloud,Module 1,FALSE
paul103-cloud,Module 2,FALSE
montoyna,Module 1,FALSE
montoyna,Module 2,FALSE
biyiemmy,Module 1,TRUE
biyiemmy,Module 2,TRUE
joseph6348,Module 1,FALSE
joseph6348,Module 2,FALSE
karezek,Module 1,FALSE
karezek,Module 2,FALSE
foma4tune,Module 1,TRUE
foma4tune,Module 2,FALSE
crh00,Module 1,FALSE
crh00,Module 2,FALSE
iamsilvia,Module 1,TRUE
iamsilvia,Module 2,TRUE
bettyghg,Module 1,FALSE
bettyghg,Module 2,FALSE
mesenbet-fentie,Module 1,FALSE
mesenbet-fentie,Module 2,FALSE
rafaellabaracho,Module 1,TRUE
rafaellabaracho,Module 2,TRUE
tshepi-sys,Module 1,FALSE
tshepi-sys,Module 2,FALSE
munjame,Module 1,TRUE
munjame,Module 2,FALSE
chiwanzamunashe,Module 1,TRUE
chiwanzamunashe,Module 2,FALSE
frantisek-ficek,Module 1,TRUE
frantisek-ficek,Module 2,TRUE
andrema123-git,Module 1,TRUE
andrema123-git,Module 2,TRUE
ike76,Module 1,FALSE
ike76,Module 2,FALSE
berti83,Module 1,TRUE
berti83,Module 2,FALSE
andrealescano,Module 1,FALSE
andrealescano,Module 2,FALSE
rebecca-lk,Module 1,TRUE
rebecca-lk,Module 2,TRUE
pascarini,Module 1,TRUE
pascarini,Module 2,FALSE
adesijivictoria,Module 1,FALSE
adesijivictoria,Module 2,FALSE
collins1125,Module 1,TRUE
collins1125,Module 2,FALSE
sarah78016,Module 1,TRUE
sarah78016,Module 2,FALSE
rayprinz99,Module 1,TRUE
rayprinz99,Module 2,FALSE
g-njoroge,Module 1,FALSE
g-njoroge,Module 2,FALSE
musabasha,Module 1,FALSE
musabasha,Module 2,FALSE
jngalamu,Module 1,TRUE
jngalamu,Module 2,FALSE
dustingarrick,Module 1,TRUE
dustingarrick,Module 2,FALSE
fnboadu,Module 1,FALSE
fnboadu,Module 2,FALSE
miller-meghan,Module 1,TRUE
miller-meghan,Module 2,TRUE
kosgey-001,Module 1,FALSE
kosgey-001,Module 2,FALSE
wondibernega,Module 1,TRUE
wondibernega,Module 2,FALSE
0920458603,Module 1,FALSE
0920458603,Module 2,FALSE
mosisabekele,Module 1,FALSE
mosisabekele,Module 2,FALSE
squiebble,Module 1,TRUE
squiebble,Module 2,TRUE
michaelnacquah,Module 1,FALSE
michaelnacquah,Module 2,FALSE
johnbrogan-alt,Module 1,TRUE
johnbrogan-alt,Module 2,FALSE
salgadosebastian-glitch,Module 1,FALSE
salgadosebastian-glitch,Module 2,FALSE
sgetahun,Module 1,FALSE
sgetahun,Module 2,FALSE
hingamercy50-cmyk,Module 1,FALSE
hingamercy50-cmyk,Module 2,FALSE
